id,name,cn,val,reference,color,collection
"""300103701410929352120231227KAL""","""AALEQ""","""CNG1""","""57""","""17KALAALEQCNG1KALAALEQCLGCLARY""","""GRAYCNG1OR""","""24KACA5717145CC505001"""
"""300103701410929345120231227KAL""","""AALEQ""","""CNG13""","""57""","""17KALAALECNG13KALAALEQCLGCLARY""","""GRAYCNG13OR""","""24K"""
"""300103701410929338120231227KAL""","""AALEQ""","""CNG14""","""57""","""17KALAALEQCNG14KALAALEQCLGCLARY""","""GRAYCNG14OR""","""24K"""
"""300103701410929321120231227KAL""","""AALEQ""","""CNG16""","""57""","""17KALAALEQCNG16KALAALEQCLGCLARY""","""GRAYCNG16OR""","""ET"""
"""300103701410929314120231227KAL""","""AALEQ""","""CNG16S12""","""57""","""17KALAALEQCNG16S12KALAALEQCLGCLARY""","""GRAYCNG16S12OR""","""ET"""
"""300103701410929307120231227KAL""","""AALEQ""","""CNG1S22""","""57""","""17KALAALEQCNG1S22KALAALEQCLGCLARY""","""GRAYCNG1S22OR""","""24KBCA5717145CC55550S22DEGRADEC11"""
"""300103701410929291120231227KAL""","""MAR""","""CNG1""","""53""","""17KALMARCNG1KALMARCLGCLARY""","""GRAYCNG1OR""","""24K"""
"""300103701410929284120231227KAL""","""MAR""","""CNG14""","""53""","""17KALMARCNG14KALMARCLGCLARY""","""GRAYCNG14OR""","""24K"""
"""300103701410929277120231227KAL""","""MAR""","""CNG6""","""53""","""17KALMARCNG6KALMARCLGCLARY""","""GRAYCNG6OR""","""ROSE"""
"""300103701410927662120231227KIN""","""SHASAN""","""CNG1""","""57""","""17KINSHASANCNG1KINSHASANCLGCLARY""","""GRAYCNG1OR""","""24KAAA5717145CC505001"""
"""300103701410923213120231227KIN""","""SHASAN""","""CNG13""","""57""","""17KINSHASANCNG13KINSHASANCLGCLARY""","""GRAYCNG13OR""","""24K"""
"""300103701410923206120231227KIN""","""SHASAN""","""CNG13S6""","""57""","""17KINSHASANCNG13S6KINSHASANCLGCLARY""","""GRAYCNG13S6OR""","""24K"""
"""300103701410923176120231227KIN""","""SHASAN""","""CNG14""","""57""","""17KINSHASANCNG14KINSHASANCLGCLARY""","""GRAYCNG14OR""","""ET"""
"""300103701410914341120231227KIN""","""SHASAN""","""CNG1S9""","""57""","""17KINSHASANCNG1S9KINSHASANCLGCLARY""","""GRAYCNG1S9OR""","""24KBAA5717140CC55550S9DEGRADEC11"""
"""300103701410927679120231227KIN""","""SHASAN""","""CNG2""","""57""","""17KINSHASANCNG2KINSHASANCLGCLARY""","""GRAYCNG2OR""","""ET"""
"""300103701410927686120231227KIN""","""SHASAN""","""CNG2S6""","""57""","""17KINSHASANCNG2S6KINSHASANCLGCLARY""","""GRAYCNG2S6OR""","""ET"""
"""300103701410923190120231227KIN""","""SHASAN""","""CNG3""","""57""","""17KINSHASANCNG3KINSHASANCLGCLARY""","""GRAYCNG3ARGENTA""","""AA5717145CC505001"""
"""300103701410923183120231227KIN""","""SHASAN""","""CNG3S5""","""57""","""17KINSHASANCNG3S5KINSHASANCLGCLARY""","""GRAYCNG3S5ARGEN""","""TBAA5717145CC55550S5DEGRADEC11"""
"""300103701410933755120240227KIN""","""SHASAN""","""CNG1S16""","""57""","""17KINSHASANCNG1S16KINSHASANCLGCLARY""","""GRAYCNG1S16OR""","""24K"""
"""300103701410933793120240227KIN""","""SHASAN""","""CNG28""","""57""","""17KINSHASANCNG28KINSHASANCLGCLARY""","""GRAYCNG28OR""","""18K"""
"""300103701410933809120240227KIN""","""SHASAN""","""CNG28S15""","""57""","""17KINSHASANCNG28S15KINSHASANCLGCLARY""","""GRAYCNG28S15OR""","""18K"""
"""300103701410933816120240227KIN""","""SHASAN""","""CNG29""","""57""","""17KINSHASANCNG29KINSHASANCLGCLARY""","""GRAYCNG29ARGENT""","""18KACA5717145CC50500"""
"""300103701410934042120240227KIN""","""SHASANII""","""CNG1""","""50""","""17KINSHASANIICNG1KINSHASANIICLGCLARY""","""GRAYCNG1OR""","""24K"""
"""300103701410934035120240227KIN""","""SHASANII""","""CNG1S18""","""50""","""17KINSHASANIICNG1S18KINSHASANIICLGCLARY""","""GRAYCNG1S18OR""","""24K"""
"""300103701410933984120240227KIN""","""SHASANII""","""CNG29""","""50""","""17KINSHASANIICNG29KINSHASANIICLGCLARY""","""GRAYCNG29ARGENT""","""18KACA5017145CC50500"""
"""300103701410933977120240227KIN""","""SHASANII""","""CNG29S17KI""","""NSHAS""","""ANIICNG29S17KINSHASANIICLGCLARY""","""GRAYCNG29S17ARG""","""ENT"""
"""300103701410933960120240227KIN""","""SHASANIII""","""CNG1""","""54""","""17KINSHASANIIICNG1KINSHASANIIICLGCLARY""","""GRAYCNG1OR""","""24K"""
"""300103701410933853120240227KIN""","""SHASANIII""","""CNG1S22""","""54""","""17KINSHASANIIICNG1S22KINSHASANIIICLGCLARY""","""GRAYCNG1S22OR""","""24K"""
"""300103701410933922120240227KIN""","""SHASANIII""","""CNG28""","""54""","""17KINSHASANIIICNG28KINSHASANIIICLGCLARY""","""GRAYCNG28""","""OR"""
"""300103701410933915120240227KIN""","""SHASANIII""","""CNG28S17""","""54""","""17KINSHASANIIICNG28S17KINSHASANIIICLGCLARY""","""GRAYCNG28S17OR""","""18K"""
